omschrijving,onderwerp,voorspeld_onderwerp,zekerheid_%
"De student onderzoekt hoe kunstmatige intelligentie kan worden ingezet om verkeersstromen in stedelijke gebieden te optimaliseren. Hiervoor wordt een neuraal netwerk getraind op historische verkeersdata en weersomstandigheden om congestie te voorspellen en dynamisch verkeerslichten aan te passen. De nadruk ligt op dataverwerking, modelvalidatie en de evaluatie van prestatie-indicatoren.",artificial intelligence,Artificial Intelligence,37.72
"De student ontwikkelt een AI-systeem dat automatisch klantreviews analyseert om producttevredenheid te meten. Met behulp van natuurlijke taalverwerking worden sentimenten en thema’s in de tekst herkend, waarna de resultaten worden gevisualiseerd in een dashboard. De focus ligt op modeltraining, evaluatie en praktische toepasbaarheid binnen een e-commercecontext.",artificial intelligence,Artificial Intelligence,37.98
"De student onderzoekt hoe organisaties digitale transformaties kunnen versnellen door agile-methodieken te combineren met innovatiemanagement. Er wordt een implementatieplan opgesteld voor het invoeren van experimentele innovatieteams binnen een bestaande bedrijfsstructuur. De nadruk ligt op verandermanagement, stakeholderanalyse en succesfactoren voor duurzame innovatie.",business change and innovation,Business Change and Innovation,57.56
"De student ontwikkelt een strategisch innovatiemodel voor een middelgrote onderneming die wil inspelen op nieuwe markttrends. Door middel van design thinking en co-creatie met klanten worden kansen in kaart gebracht en vertaald naar haalbare concepten. De focus ligt op procesontwerp, innovatiecultuur en implementatie.",business change and innovation,Business Change and Innovation,48.85
"De student analyseert bedrijfsprocessen binnen een financiële organisatie om knelpunten in klantaanmeldingen te identificeren. Met behulp van procesmining en data-analyse worden vertragingen opgespoord en gevisualiseerd in dashboards. De nadruk ligt op efficiëntieverbetering, data cleaning en interpretatie van procesmodellen.",business process analytics,Business Process Analytics,60.66
"De student onderzoekt hoe process mining-technieken kunnen worden toegepast om de naleving van interne regels te controleren. Op basis van logdata worden afwijkingen in werkprocessen automatisch opgespoord en gerapporteerd aan het management. De focus ligt op datakoppeling, compliance-analyse en datavisualisatie.",business process analytics,Business Process Analytics,32.74
"De student ontwikkelt een interactieve installatie die reageert op de bewegingen en emoties van bezoekers met behulp van sensortechnologie. Door creatieve technologie te combineren met artistiek ontwerp ontstaat een immersieve ervaring die reflectie oproept over mens-machine-interactie. De nadruk ligt op conceptontwikkeling, prototyping en gebruikerservaring.",creative digital innovation,Creative Digital Innovation,92.05
"De student creëert een digitale storytelling-ervaring waarbij augmented reality wordt ingezet om erfgoedverhalen tot leven te brengen. Gebruikers kunnen via hun smartphone historische objecten en locaties in 3D verkennen. De focus ligt op narratief ontwerp, technische realisatie en gebruikersinteractie.",creative digital innovation,Creative Digital Innovation,94.65
"De student onderzoekt hoe multi-factor authenticatie kan worden geoptimaliseerd voor gebruiksgemak zonder in te leveren op veiligheid. Verschillende authenticatiemethoden worden getest binnen een gecontroleerde omgeving om de balans tussen veiligheid en gebruikerservaring te evalueren. De nadruk ligt op risicobeoordeling, beveiligingsontwerp en rapportage van kwetsbaarheden.",cyber security,Cyber Security,50.89
"De student bouwt een simulatieomgeving waarin phishingaanvallen worden nagebootst om medewerkers te trainen in cybersecuritybewustzijn. Door gedragsdata te analyseren worden patronen van klikgedrag geïdentificeerd en verbeterstrategieën ontwikkeld. De focus ligt op dataverwerking, menselijk gedrag en preventie van digitale dreigingen.",cyber security,Ethical Hacking,43.05
"De student ontwikkelt een voorspellend model dat omzetgroei van bedrijven schat op basis van historische verkoopdata en externe economische factoren. Met behulp van Python en machine learning worden patronen in de data opgespoord en gevalideerd. De nadruk ligt op feature engineering, modeloptimalisatie en interpretatie van resultaten.",data science,Data Science,93.37
"De student onderzoekt hoe clusteringtechnieken kunnen worden toegepast om klantsegmentatie te verbeteren binnen een retailorganisatie. Op basis van aankoopgedrag worden profielen opgesteld die marketingstrategieën ondersteunen. De focus ligt op dataselectie, modelkeuze en visuele presentatie van inzichten.",data science,Data Science,39.65
"De student ontwerpt interactieve dashboards die real-time inzichten geven in energieverbruik binnen smart homes. Door data uit sensoren te combineren met historische trends worden patronen en piekmomenten inzichtelijk gemaakt. De nadruk ligt op visualisatieprincipes, gebruikerservaring en dataverbindingen.",data visualisation,Data Visualisation,64.92
"De student onderzoekt hoe complexe datasets toegankelijker kunnen worden gemaakt door middel van datastorytelling. Er wordt een visueel rapport ontwikkeld waarin visualisaties narratief worden verbonden aan beslissingsprocessen binnen een organisatie. De focus ligt op ontwerp, duidelijkheid en interpretatie van informatie.",data visualisation,Data Visualisation,87.54
"De student past het Design Science Research-framework toe om een tool te ontwikkelen die samenwerking tussen onderzoekers bevordert. Door middel van iteratieve prototyping worden eisen verzameld, getest en geëvalueerd met eindgebruikers. De nadruk ligt op validatie, theoretische onderbouwing en praktische relevantie.",design science research,Design Science Research,46.02
"De student onderzoekt hoe wetenschappelijke methoden kunnen worden geïntegreerd in het ontwerp van digitale oplossingen binnen de zorgsector. Een prototype wordt ontwikkeld dat evidence-based besluitvorming ondersteunt. De focus ligt op het onderzoeksproces, artefactontwerp en wetenschappelijke bijdrage.",design science research,Design Science Research,44.66
"De student voert een penetratietest uit op een interne webapplicatie om kwetsbaarheden in authenticatie- en sessiebeheer te identificeren. Bevindingen worden gerapporteerd en voorzien van aanbevelingen voor mitigatie. De nadruk ligt op ethische richtlijnen, rapportage en technische uitvoering.",ethical hacking,Cyber Security,55.88
"De student ontwikkelt een testomgeving waarin SQL-injectieaanvallen kunnen worden gesimuleerd om ontwikkelaars te trainen in veilige codepraktijken. De focus ligt op exploitatieanalyse, veiligheidsmaatregelen en educatieve toepassing van hackingtechnieken.",ethical hacking,Ethical Hacking,89.08
"De student ontwerpt een schaalbare microservices-architectuur voor een logistiek platform dat realtime data verwerkt. Verschillende ontwerpbeslissingen worden geëvalueerd op het gebied van performance, onderhoudbaarheid en fouttolerantie. De nadruk ligt op systeemontwerp, API-communicatie en deployment.",software architecture,Software Architecture,68.07
"De student onderzoekt hoe event-driven architecturen kunnen worden toegepast binnen IoT-toepassingen om responstijden te minimaliseren. Er wordt een proof-of-concept gebouwd met gebruik van Kafka en Docker. De focus ligt op integratie, schaalbaarheid en architectonische patronen.",software architecture,Software Architecture,29.12
